,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,latitudes,longitudes
3650,3650,69110295,2017-12-16 21:40:00,1530 N ARTESIAN,8fd65d5d2c97fb956fc3a22b2bd7f31f9597a68f93527e41d34d0164e8329bf1,IL,SOX,,0964090E,RESIDENTIAL PERMIT PARKING,14,CPD,JEEP,75,150,0.0,0.0,Dismissed,2018-03-04 00:00:00,,,0,18454,"1500 n artesian, chicago, il",41.909390245628714,-87.68846893591648
3651,3651,9192741462,2017-12-16 21:41:00,1252 W HENDERSON,c1f9f35a5e09e40e038f158f33dc7a1e957a0e78b6e0f9b4ec1d660f9bb6b86f,IL,PAS,604314804.0,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,GMC,75,150,0.0,75.0,Paid,2018-01-17 00:00:00,VIOL,,5209306000,1529,"1200 w henderson, chicago, il",41.94262459001858,-87.6607830385635
3652,3652,9192547510,2017-12-16 21:41:00,3542 N CLARK ST,fdd8d4a7942ecdadb2e924a3e79dc7adf8daa0a5afd499e623d61a9633fcc7d1,IL,PAS,604513350.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,502,DOF,CHEV,100,200,0.0,100.0,Paid,2018-01-31 00:00:00,DETR,,5196015930,1462,"3500 n clark st, chicago, il",41.946686899159246,-87.65614699159258
3653,3653,9192635664,2017-12-16 21:42:00,49 E SUPERIOR ST,1d2d799a365b3529e1b8978102549ed2ff7d1a2a9cd241476c97d30ea5d38986,IL,PAS,606603254.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,LEXU,65,130,130.0,0.0,Notice,2017-12-21 00:00:00,FINL,,5209942280,1492,"1 e superior st, chicago, il",41.89563608872604,-87.62648275998563
3654,3654,69017928,2017-12-16 21:42:00,1536 N ARTESIAN,0deacb4ecc3e9550ed9b570cc8cf704806fe771047aebcf984796c3359115857,IL,PAS,,0964090E,RESIDENTIAL PERMIT PARKING,14,CPD,FORD,75,150,0.0,75.0,Paid,2017-12-28 00:00:00,,,0,13975,"1500 n artesian, chicago, il",41.90959724562873,-87.68846893591648
3655,3655,9192741463,2017-12-16 21:42:00,1254 W HENDERSON,2a403284639938ffaa6a0a98322e906bd3eacc937df90b0a8d71647f01392eaf,OH,PAS,45231.0,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,HOND,75,150,0.0,75.0,Paid,2018-01-22 00:00:00,VIOL,,5210265900,1529,"1200 w henderson, chicago, il",41.94258152207278,-87.66109841909515
3656,3656,9192434591,2017-12-16 21:42:00,422 N NEW ST,35e0836587810b89c67277ce2d5adafbc1e09123d348f099725bd074573eeb67,IL,DLC,,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,CHEV,65,130,65.0,0.0,Define,2017-12-18 00:00:00,,,0,1525,"400 n new st, chicago, il",41.889857940028264,-87.61870243486646
3657,3657,68811321,2017-12-16 21:43:00,818 W WINDSOR,f8627ee0088975c011da169126b3630dff13dc72607da9ca752b1299428348e4,IL,TXI,606184303.0,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",19,CPD,TOYT,75,150,0.0,0.0,Dismissed,2018-01-31 00:00:00,,Not Liable,5196666680,7766,"800 w windsor, chicago, il",41.96452049321932,-87.65085086081135
3658,3658,9192552149,2017-12-16 21:43:00,3413 N BROADWAY ST,09285d915ae00bded5d021ae83bc886a65af878bca31c59f011388b5f4de3a30,WI,PAS,532025934.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,VOLK,50,100,0.0,50.0,Paid,2018-03-11 00:00:00,DETR,,5080454410,1639,"3400 n broadway st, chicago, il",41.943772993905505,-87.64502865548697
3659,3659,69124084,2017-12-16 21:43:00,3540 N CLARK,fdd8d4a7942ecdadb2e924a3e79dc7adf8daa0a5afd499e623d61a9633fcc7d1,IL,PAS,604513350.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,CHEV,100,200,0.0,100.0,Paid,2018-01-31 00:00:00,VIOL,,5196015930,11674,"3500 n clark, chicago, il",41.94660783429517,-87.65604699128609
3660,3660,9192566863,2017-12-16 21:44:00,3 E ERIE ST,fa3fad30fc62b86e5cd653327447c3c7adbf24d73475a593c52a29d1366f79b4,IL,PAS,604292065.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,GMC,65,130,130.0,0.0,Bankruptcy,2018-04-19 00:00:00,FINL,,5197653310,1409,"3 e erie st, chicago, il",41.893999962480116,-87.62797085675982
3661,3661,68428938,2017-12-16 21:45:00,1354 W FLECHER,8a044fe177e177c25bf5ba64d2ea975e641b5044d4da28fd7740144663d4feff,IL,PAS,,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,19,CPD,TOYT,150,300,0.0,150.0,Paid,2017-12-29 00:00:00,,,0,18716,"1300 w flecher, chicago, il",41.93885753318127,-87.66339244463038
3662,3662,68918981,2017-12-16 21:45:00,518 W 61ST ST,7d758547ec00940e6babf4110ac5f20075112f9a53b0d84e9346dff4948de52d,IL,PAS,606213210.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,7,CPD,CHRY,60,120,146.4,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5081004130,8986,"500 w 61st st, chicago, il",41.783559384077584,-87.63802184756369
3663,3663,68949312,2017-12-16 21:45:00,501 E 47TH ST,e420c8c45e7b5bd2e95c7d730a9f36055e0e80978bd5c533be95600e19e09bed,IL,PAS,60653.0,0964150B,PARKING/STANDING PROHIBITED ANYTIME,2,CPD,CHEV,75,150,0.0,75.0,Paid,2018-01-25 00:00:00,VIOL,,5210313840,9638,"500 e 47th st, chicago, il",41.809415481245445,-87.61353780391252
3664,3664,9192741464,2017-12-16 21:45:00,1317 W HENDERSON,5ce31459c2a181d8617c5e3aaae408627a02bcc48ce45ed3fc8f6c0b08fd95b3,IL,PAS,605656751.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,502,DOF,HYUN,60,120,0.0,60.0,Paid,2018-01-01 00:00:00,VIOL,,5209901700,1529,"1300 w henderson, chicago, il",41.94250254674262,-87.66225047155058
3665,3665,9192434592,2017-12-16 21:45:00,424 N NEW ST,eb90d3f90598dc3c460faa73c67bc83972ba7bb785829e000175914cb00c6abf,IL,PAS,607072056.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,TOYT,65,130,0.0,65.0,Paid,2018-02-04 00:00:00,DETR,,5202641700,1525,"400 n new st, chicago, il",41.8898853805871,-87.61870347880077
3666,3666,9192552150,2017-12-16 21:45:00,3415 N BROADWAY ST,de755e4bab8a47b9855c6c73d8788d3ae46f4b861eb43dab8e6398fe47e75e30,IL,PAS,60657.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,BMW,50,100,0.0,50.0,Paid,2017-12-27 00:00:00,VIOL,,5208033890,1639,"3400 n broadway st, chicago, il",41.94379695160319,-87.64504244931291
3667,3667,9192566864,2017-12-16 21:45:00,651 N STATE ST,d3657cfc953bbc7d1ab859b4259c71260df4d3dd6d9f132eef299efb895f5e92,IL,PAS,606402819.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,SUBA,65,130,0.0,65.0,Paid,2018-02-28 00:00:00,DETR,,5198349310,1409,"600 n state st, chicago, il",41.89392087740326,-87.62805845029345
3668,3668,68784665,2017-12-16 21:45:00,5100 W GRAND AV,326c5aaa5f10230d1d57741c297920afcc1e9d95f2ac1ca2d07863612098ae07,IL,PAS,60622.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",25,CPD,ACUR,200,400,400.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210326960,6285,"5100 w grand av, chicago, il",41.91689149711446,-87.75360760644007
3669,3669,68918982,2017-12-16 21:45:00,518 W 61ST ST,7d758547ec00940e6babf4110ac5f20075112f9a53b0d84e9346dff4948de52d,IL,PAS,606213210.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",7,CPD,CHRY,200,400,488.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5081004130,8986,"500 w 61st st, chicago, il",41.783559384077584,-87.63802184756369
3670,3670,68780456,2017-12-16 21:46:00,4317 W MADISON ST,9c3e961543fab01c883f00f01a47f97870218f3c4c00e45b4a6e5e684aafc2c0,IL,PAS,606231112.0,0976050B,TWO HEAD LAMPS REQUIRED VISIBLE 1000',25,CPD,CHEV,25,50,0.0,50.0,Paid,2018-03-16 00:00:00,FINL,,5183204840,10859,"4300 w madison st, chicago, il",41.880556160438495,-87.73381070170232
3671,3671,9192624931,2017-12-16 21:46:00,44 E WALTON ST,c616824a10a63ce1bdc3af98d121e46b1922ccb6f0f1ea6fded48eac0de517e4,IL,PAS,606071919.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,VOLK,65,130,0.0,65.0,Paid,2018-01-30 00:00:00,DETR,,5210018570,1513,"1 e walton st, chicago, il",41.90004743155623,-87.62657420445221
3672,3672,68934633,2017-12-16 21:46:00,9211 S HALSTED ST,df91fb1b357a1dfa12f8fcbb767f597cf0ee0766df47222609658389e3d58e58,IL,PAS,604733720.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,22,CPD,CHEV,60,120,120.0,0.0,Notice,2018-01-10 00:00:00,SEIZ,,5208328390,15449,"9200 s halsted st, chicago, il",41.7265567543713,-87.64324172450823
3673,3673,68948030,2017-12-16 21:47:00,4758 S CALUMET,94b6e60fd1426c81d417ed8dc9c8eb55b34ba657ab5e7116bb4668e6b55bbbb9,IL,PAS,60615.0,0964150B,PARKING/STANDING PROHIBITED ANYTIME,2,CPD,DODG,75,150,150.0,0.0,Notice,2018-01-03 00:00:00,DLS,,5082423190,15667,"4700 s calumet, chicago, il",41.80778024562872,-87.6181368593108
3674,3674,9192741465,2017-12-16 21:47:00,1330 W HENDERSON,ca06244302fd8b0e9180e4da2af4f36152cb5dd98488f34eaf44ad6ec0d104d5,TX,PAS,78249.0,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,TOYT,75,150,150.0,0.0,Notice,2018-01-10 00:00:00,SEIZ,,5193603690,1529,"1300 w henderson, chicago, il",41.94254848600596,-87.66269052844942
3675,3675,68963696,2017-12-16 21:47:00,8158 S DREXEL,7f502518d2f9c7310eb7a846a75f98e6363c8aa5774cafbc3bdcd38379191e6e,IL,PAS,606195460.0,0964100A,WITHIN 15' OF FIRE HYDRANT,312,CPD-Other,CHEV,150,300,0.0,150.0,Paid,2018-02-15 00:00:00,VIOL,,5202946280,11996,"8100 s drexel, chicago, il",41.74610282653356,-87.60263479381364
3676,3676,68856253,2017-12-16 21:47:00,1451 E 69TH PL,cf95b35e912e42bc3aa51eddbaf127ea36b8090f1206e249759c559e77cfe5b4,IL,PAS,609361527.0,0964050J,DISABLED PARKING ZONE,3,CPD,CADI,250,500,500.0,0.0,Notice,2017-12-27 00:00:00,FINL,,5177242190,14229,"1400 e 69th pl, chicago, il",41.76867486548625,-87.58918847231753
3677,3677,9192552151,2017-12-16 21:48:00,3423 N BROADWAY ST,9b8e6c67662c1975ef125521f934eff06db4942a936dd8d9f7cd5520ca235f0f,IL,PAS,605214203.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,PORS,50,100,0.0,50.0,Paid,2018-01-09 00:00:00,VIOL,,5167643520,1639,"3400 n broadway st, chicago, il",41.94389278239393,-87.64509762461667
3678,3678,68780457,2017-12-16 21:48:00,4239 W MADISON ST,e6b5a92c0a99196ae926bc4effddd8dbcdbecd6aa6e34795f0f00d8ec3d9dfd7,IL,PAS,60446.0,0964110A,DOUBLE PARKING OR STANDING,25,CPD,CHEV,100,200,100.0,0.0,Court,2018-02-22 00:00:00,DETR,,5210364920,10859,"4200 w madison st, chicago, il",41.88062350288554,-87.73212133236193
3679,3679,9192741466,2017-12-16 21:50:00,1354 W HENDERSON ST,4caeb63c30eeea1200141da5b701cd1127f5f25862bb927ba404d9a921c13499,IL,PAS,606103424.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,BMW,50,100,0.0,50.0,Paid,2018-04-15 00:00:00,DETR,Liable,5210029090,1529,"1300 w henderson st, chicago, il",41.942585665960486,-87.66343040936592
3680,3680,68648028,2017-12-16 21:51:00,2622 W 21ST PL,9ee596ad9c75a0ebbb81c1e2650ec64eefd861c454c1f1bf22031fe319018e69,IL,PAS,606321119.0,0964110A,DOUBLE PARKING OR STANDING,10,CPD,FORD,100,200,0.0,100.0,Paid,2018-03-05 00:00:00,DETR,,5202805660,10081,"2600 w 21st pl, chicago, il",41.85290946047076,-87.69153986081135
3681,3681,68851108,2017-12-16 21:51:00,2133 E 70TH ST,a462da89a680b01167f6817fdfd13c00c6e2b587e3f1a73d87dbb4c44c7bb70c,IL,PAS,600857717.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,3,CPD,HYUN,60,120,120.0,0.0,Notice,2017-12-27 00:00:00,SEIZ,,5203540800,18472,"2100 e 70th st, chicago, il",41.76793318046527,-87.57306230930239
3682,3682,68664160,2017-12-16 21:51:00,6324 N WESTERN,e65738bcd15eb592ff904f697b3ccfe3ea1ba4a7ccae3b4f0fbf89273fb64db2,IL,PAS,606562007.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,24,CPD,LEXU,60,120,0.0,60.0,Paid,2018-01-16 00:00:00,VIOL,,5209015730,3456,"6300 n western, chicago, il",41.996745639188646,-87.68987646145169
3683,3683,68916353,2017-12-16 21:51:00,5931 S ASHLAND,91b9ff48a0792dd96c0bf8bdf70bd0981c1dae11d4d596d6897d582158158f08,IL,PAS,60660.0,0976050B,TWO HEAD LAMPS REQUIRED VISIBLE 1000',7,CPD,PONT,25,50,50.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210313110,11541,"5900 s ashland, chicago, il",41.7857580313636,-87.6643321878645
3684,3684,9192566865,2017-12-16 21:51:00,676 N STATE ST,045afb0e03be63df23932ec5ebdddbfd132aed6b21c7fe9c1148b741019dc2bc,IL,PAS,60461.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,FORD,65,130,0.0,65.0,Paid,2018-01-23 00:00:00,VIOL,,5210016370,1409,"600 n state st, chicago, il",41.894464740860286,-87.62818829569856
3685,3685,9192624932,2017-12-16 21:52:00,94 E WALTON ST,152d4c57c772889b0cd7cf3048a01cde9167bd152117ea70d8b176c357afd515,IL,PAS,600154708.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,INFI,65,130,0.0,65.0,Paid,2017-12-26 00:00:00,VIOL,,5172776860,1513,"1 e walton st, chicago, il",41.900068124631936,-87.62515609875565
3686,3686,9192635665,2017-12-16 21:53:00,17 W CHESTNUT ST,c841d9e0fae6e37e09f7fe7eebbfc4524fc27cd52e52e19132330ea919c1c1d9,IL,PAS,60610.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,TOYT,65,130,0.0,65.0,Paid,2018-01-16 00:00:00,VIOL,,5210558130,1492,"1 w chestnut st, chicago, il",41.897926464077266,-87.62891130060797
3687,3687,9192552152,2017-12-16 21:53:00,618 W ROSCOE ST,2596b157e549dcef8997acc28da573276767120af59c55edc7a0fb1144c36680,IL,PAS,600606028.0,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,MERC,75,150,0.0,0.0,Dismissed,2018-03-12 00:00:00,,Not Liable,5210016020,1639,"600 w roscoe st, chicago, il",41.94375642159811,-87.64563160797114
3688,3688,68648029,2017-12-16 21:54:00,2158 S WASHTENAW,c63a2656b56f25236467a31d3e2d12ddc84159e6c9dc2a2e99cc76d5b505233d,IL,PAS,606234306.0,0964150B,PARKING/STANDING PROHIBITED ANYTIME,10,CPD,FORD,75,150,0.0,75.0,Paid,2018-01-18 00:00:00,VIOL,,5210273620,10081,"2100 s washtenaw, chicago, il",41.8523133062176,-87.69306043634715
3689,3689,9192624933,2017-12-16 21:54:00,96 E WALTON ST,36d19a5932bd7ab79f89429874087aa16ee8e424f256a7df761505648dde8a8c,WI,PAS,53045.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,HOND,65,130,0.0,65.0,Paid,2017-12-18 00:00:00,,,0,1513,"1 e walton st, chicago, il",41.900068782776344,-87.62510520225499
3690,3690,9192566866,2017-12-16 21:55:00,33 W HURON ST,94630981918b56f28fa0179b61be596332e5a589b91945f12e8e9be45f8c82d4,IL,PAS,600153325.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,HYUN,65,130,0.0,65.0,Paid,2017-12-20 00:00:00,,,0,1409,"1 w huron st, chicago, il",41.89482852899768,-87.62872016472387
3691,3691,68780458,2017-12-16 21:55:00,11 S KEELER AVE,6f89821b696e9efa40a897cd5c65d371896a179c86c15af043483fec6ab13647,IL,PAS,606123313.0,0976050B,TWO HEAD LAMPS REQUIRED VISIBLE 1000',25,CPD,JAGU,25,50,50.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5203668740,10859,"1 s keeler ave, chicago, il",41.88053305267428,-87.73050710414176
3692,3692,9192635666,2017-12-16 21:57:00,17 W CHESTNUT ST,611c0636d10d8bdce7071995c1eeb5603117ed3bd6e6a2022d476261250f52ef,IL,PAS,605632991.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,JEEP,65,130,0.0,65.0,Paid,2018-01-07 00:00:00,VIOL,,5210019210,1492,"1 w chestnut st, chicago, il",41.897926464077266,-87.62891130060797
3693,3693,68851109,2017-12-16 21:57:00,6920 S CRANDON,04fcb2bcaf4b64da40cc10cb25eb0fee283220fe28eb88a4fd5412aab3d7e703,IL,PAS,606494100.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,3,CPD,DODG,60,120,0.0,0.0,Dismissed,2018-02-16 00:00:00,,Not Liable,5200422250,18472,"6900 s crandon, chicago, il",41.769268994171625,-87.5698572904954
3694,3694,9192566867,2017-12-16 21:58:00,35 W HURON ST,f4226a5d0002e727490a27d58c95c098f93d50c75cc67bc3ab5fcac28e65201a,IL,PAS,606164861.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,CHEV,65,130,130.0,0.0,Notice,2017-12-21 00:00:00,SEIZ,,5184107160,1409,"1 w huron st, chicago, il",41.89477261429187,-87.62951174328829
3695,3695,9192635667,2017-12-16 22:01:00,846 N STATE ST,2a5f3540295b1f2897ead40f8a046a6877f97896516ce3bc3faf6d9d263448bf,IL,PAS,,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,FORD,65,130,0.0,65.0,Paid,2017-12-19 00:00:00,,,0,1492,"800 n state st, chicago, il",41.89791845959206,-87.62830177693309
3696,3696,9192566868,2017-12-16 22:02:00,24 W HURON ST,be413e438be75dec212b659094e8d6f4783797199530964e378b35ffa24b38b3,IL,PAS,606434508.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,TOYT,65,130,130.0,0.0,Notice,2017-12-21 00:00:00,SEIZ,,5070333330,1409,"1 w huron st, chicago, il",41.89492221144269,-87.63002547980886
3697,3697,68911518,2017-12-16 22:02:00,7410 S ASHLAND,08b179681ff780d422fa65a43a144f124d097a082671494e6b7af0562d2a1cfb,IL,PAS,604114160.0,0976050B,TWO HEAD LAMPS REQUIRED VISIBLE 1000',7,CPD,JEEP,25,50,0.0,25.0,Paid,2018-03-06 00:00:00,DETR,,5196311440,15456,"7400 s ashland, chicago, il",41.759143241015956,-87.66369339144673
3698,3698,68731490,2017-12-16 22:04:00,13017 S DREXEL AVE,0dd347d9baea6642e1077400cc9a848baef821c345cf637a5b7e07590e7bbcdf,IL,PAS,60827.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",5,CPD,JEEP,200,400,400.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210310700,9678,"13000 s drexel ave, chicago, il",41.65845963381126,-87.59925120430142
3699,3699,68731489,2017-12-16 22:04:00,13020 S DREXEL AV,2cef52d6e31e7c6cbe337b198ea825f1c82b46947a0dba2c150ee13a6542fb03,IL,PAS,60827.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",5,CPD,CHEV,200,400,488.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5213098190,9678,"13000 s drexel av, chicago, il",41.65841036618872,-87.59936579569856
3700,3700,9192566869,2017-12-16 22:05:00,8 W HURON ST,f34e1a9edb838d354fe640f4fc55519a22192f24b150474396f67c9504852ce7,IL,PAS,606131738.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,HYUN,65,130,134.4,24.2,Notice,2017-12-21 00:00:00,SEIZ,,5180535040,1409,"8 w huron st, chicago, il",41.8949248279003,-87.62966590160859
3701,3701,9192624935,2017-12-16 22:06:00,69 E OAK ST,c5e96892e65f7874989c606192126a2aa12b18c11ac7c2d5de60abd6ffb36441,IL,PAS,60031.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,VOLK,65,130,0.0,65.0,Paid,2018-01-18 00:00:00,VIOL,,5191355380,1513,"1 e oak st, chicago, il",41.90071511543659,-87.62616449617316
