Unnamed: 0,ticket_number,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,issue_date,hour
6822730,69053263,30 W LAKE,a430cb0b352d5bb53bc1efcc65a35dab5be578535212294cc5fcfd1baa2133a8,KY,PAS,40475,0964190C,NON PYMT/NON-COM VEH PARKED IN COM LOADING ZONE,1.0,CPD,FORD,140,280,280.0,0.0,Notice,2018-01-02 00:00:00,FINL,,5211097800,13563,"1 w lake, chicago, il",2015-01-01 12:35:00,12
6822731,68673573,8419 S SEELEY,603e09c12c607a2ecfdc8062d4120edd10b2f5499d76fb4cc5d7a8ec73f9e04d,IL,PAS,,0964130A,PARK ALLEY,6.0,CPD,CHEV,150,300,150.0,0.0,Define,2018-01-04 00:00:00,,,0,2791,"8400 s seeley, chicago, il",2015-01-01 12:36:00,12
6822732,9192706304,7952 S EBERHART,8e25c27009c7c70b90212c563d9e2ecdf9a4209c63a84564aca1356c18372e1f,IL,PAS,60619,0964090E,RESIDENTIAL PERMIT PARKING,498.0,DOF,FORD,75,150,150.0,0.0,Notice,2018-04-11 00:00:00,FINL,Liable,5209893370,824,"7900 s eberhart, chicago, il",2015-01-01 12:36:00,12
6822733,9192733779,6349 N PAULINA,dc76737bc9463a87b951da67ea3f293ff1bd528486e36c64c9ff326b0b0406c6,IL,PAS,610812136,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,498.0,DOF,CHEV,60,120,0.0,60.0,Paid,2018-01-21 00:00:00,VIOL,,5210277020,139,"6300 n paulina, chicago, il",2015-01-01 12:36:00,12
6822734,68673575,8419 S SEELEY,603e09c12c607a2ecfdc8062d4120edd10b2f5499d76fb4cc5d7a8ec73f9e04d,IL,PAS,,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,6.0,CPD,CHEV,60,120,60.0,0.0,Define,2018-01-04 00:00:00,,,0,2791,"8400 s seeley, chicago, il",2015-01-01 12:36:00,12
6822735,9192672717,7802 S MARQUETTE AVE,b8358c93729911747ac69d215bf14710a0efe537e259dfc5c3deeed9046d93ed,IN,PAS,464084554,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,CHEV,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5201994580,92,"7800 s marquette ave, chicago, il",2015-01-01 12:37:00,12
6822736,9192758076,1310 S WASHTENAW,5ed9726716ccbafe0ec3a143a27515c7c2fe924ecda556973d0eb8bb7d933b91,IL,PAS,606084486,0964090E,RESIDENTIAL PERMIT PARKING,498.0,DOF,CHEV,75,150,150.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5157243290,808,"1300 s washtenaw, chicago, il",2015-01-01 12:37:00,12
6822737,69053264,32 W LAKE,d926079e2e11783f836f96600d51f4e2d6fc3bfa09de49536da7aa723b16a3d4,IL,PAS,606494711,0964190C,NON PYMT/NON-COM VEH PARKED IN COM LOADING ZONE,1.0,CPD,FIAT,140,280,0.0,0.0,Dismissed,2018-04-09 00:00:00,VIOL,Not Liable,5210240440,13563,"1 w lake, chicago, il",2015-01-01 12:38:00,12
6822738,9192758077,1310 S WASHTENAW,5ed9726716ccbafe0ec3a143a27515c7c2fe924ecda556973d0eb8bb7d933b91,IL,PAS,606084486,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498.0,DOF,CHEV,200,400,400.0,0.0,Notice,2018-01-04 00:00:00,SEIZ,,5157243290,808,"1300 s washtenaw, chicago, il",2015-01-01 12:38:00,12
6822739,9192699795,565 W ROSCOE,54d8b920f4debd09d2ec8138b5f9ca7d2cca48f0e1ca3d41ef30aecd743c856a,CA,PAS,,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,HOND,60,120,0.0,60.0,Paid,2018-01-01 00:00:00,,,0,781,"500 w roscoe, chicago, il",2015-01-01 12:38:00,12
