,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
4757,4757,9191873641,2017-06-09 13:24:00,34 N WALLER,44b2f1afbe0403ca41e85ef49b804078f5d3ece618a263860888f1e318462b47,IL,PAS,604362696.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,498,DOF,CHEV,60,120,146.4,0.0,Notice,2017-06-15 00:00:00,DLS,,5203660020,727,"1 n waller, chicago, il",60644,41.88122046572221,-87.7681663815278
4758,4758,9191907203,2017-06-09 13:24:00,5311 N CLARK ST,428fa462390fdb05c6bb17815eff57f4cdf2c2af6d164e1bd373ad11a7dce4ee,OH,PAS,44889.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498,DOF,HOND,50,100,0.0,50.0,Paid,2017-06-26 00:00:00,VIOL,,5203089590,812,"5300 n clark st, chicago, il",60640,41.97849224562873,-87.66829351301307
4759,4759,67953901,2017-06-09 13:24:00,500 E SOLIDARITY,4c12847c99aafffcabdda1110634500191e0ea00d0632acaa0caf1241bb96e4e,IL,PAS,606342517.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,GMC,100,200,0.0,100.0,Paid,2017-08-20 00:00:00,VIOL,,5191312340,487,"500 e solidarity, chicago, il",60605,41.8661465360013,-87.61419610800388
4760,4760,9191846397,2017-06-09 13:24:00,1921 N CLARK ST,3ebad6db247df80b35106ea85df72611e89476c0b411b16bc5fe0b70caf28da3,MN,PAS,,0964020A,WRONG DIRECTION OR 12'' FROM CURB,498,DOF,FORD,25,50,25.0,0.0,Define,2017-06-12 00:00:00,,,0,780,"1900 n clark st, chicago, il",60614,41.91607703515893,-87.63456987653097
4761,4761,9191840194,2017-06-09 13:24:00,109 N DEARBORN ST,2742b1d3c0a9b7fcdd4edb18fc4412549d6557d69e5cf7709c68df12f8e99619,IL,PAS,601432104.0,0964020B,OBSTRUCT ROADWAY,498,DOF,CHEV,75,150,183.0,0.0,Notice,2017-06-15 00:00:00,FINL,,5205891440,622,"100 n dearborn st, chicago, il",60602,41.8834858665443,-87.62938818354691
4762,4762,9191796129,2017-06-09 13:24:00,3916 N ASHLAND AV,a7ec80dd6ee4bf2c8f6c0dbaa9c3aea294009b1520f572199170a011c12ce982,IL,PAS,606392208.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,NISS,50,100,0.0,50.0,Paid,2017-07-22 00:00:00,VIOL,,5203520730,1441,"3900 n ashland av, chicago, il",60613,41.9529856588955,-87.6690484287031
4763,4763,9191772951,2017-06-09 13:24:00,741 W 32ND ST,60ab53da70ac014c9b27be94960893fd952e25c79d402ed972ae456851fc45ab,IL,PAS,606162204.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498,DOF,CADI,200,400,0.0,200.0,Paid,2017-07-13 00:00:00,VIOL,,5183002140,814,"700 w 32nd st, chicago, il",60616,41.836159190328964,-87.64519187707803
4764,4764,9191804367,2017-06-09 13:24:00,434 E OHIO ST,509c6c8503c3cf19975c156adef9277ae556ff2a4b267cd92d4523212ea71f67,IL,PAS,604611148.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,CHEV,65,130,158.6,0.0,Notice,2017-06-15 00:00:00,FINL,,5099263540,201,"400 e ohio st, chicago, il",60611,41.89273202251745,-87.61612545455077
4765,4765,9191841545,2017-06-09 13:24:00,346 E 47TH ST,8fdbbd0c19779570278a5d7f8e00ebd089b8d168a97542dd1510122b9dcc88c6,IL,PAS,606374320.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,TOYT,50,100,0.0,50.0,Paid,2017-07-20 00:00:00,VIOL,,5185011440,1456,"300 e 47th st, chicago, il",60653,41.80945986912785,-87.61780124999999
4766,4766,67665528,2017-06-09 13:25:00,1556 S LAFLIN,2e517ab1bc3d5550f2121dd396c8d137b3972817f3bfac6a1f76c2dc2d93a045,IL,PAS,606171154.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,12,CPD,JEEP,100,200,0.0,100.0,Paid,2017-07-11 00:00:00,VIOL,,5187669490,19884,"1500 s laflin, chicago, il",60608,41.86053184381121,-87.66386822622606
4767,4767,9191512076,2017-06-09 13:25:00,3700 W GRAND AVE,34515f5204ee3ef3b8b544eb24ad08255edc1cede89a1887e78ea29f5e0b98de,IL,TRK,606182002.0,0964125C,"NO CITY STICKER VEHICLE OVER 16,000 LBS.",501,Miscellaneous,INTL,500,1000,0.0,0.0,Dismissed,2017-08-23 00:00:00,VIOL,Not Liable,5206263470,45,"3700 w grand ave, chicago, il",60651,41.90369253262306,-87.71997783828047
4768,4768,9191897012,2017-06-09 13:25:00,851 W ADDISON,0c53acd1ecac10b7f68bc8980add9376405d1dd55058f9b8edae6a9d58da77b7,IL,TRK,606184717.0,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,498,DOF,FORD,100,200,0.0,100.0,Paid,2017-06-28 00:00:00,VIOL,,5190908780,781,"800 w addison, chicago, il",60613,41.94724950678067,-87.65143158090484
