,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
3626,3626,66886473,2017-06-10 18:30:00,7118 S HERMITAGE,ecef5822daab2cd4699e37d6d657135404b3840f872161d8d34ddb5969579f89,IL,PAS,606363820.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",7,CPD,PONT,200,400,0.0,0.0,Dismissed,2017-08-08 00:00:00,,Not Liable,5199104770,11320,"7100 s hermitage, chicago, il",60636,41.76429216985328,-87.66749229800801
3627,3627,67707154,2017-06-10 18:30:00,1028 N LEAMINGTON,0ba52bd132bae39da903ef962add86f5c21608de7a970f3bf8040e5e12cceedf,IL,PAS,606475230.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",15,CPD,FORD,200,400,488.0,0.0,Notice,2017-06-22 00:00:00,SEIZ,,5203305180,04542,"1000 n leamington, chicago, il",60651,41.89947232944775,-87.75450643591647
3628,3628,9191910270,2017-06-10 18:31:00,15 E PEARSON ST,139429035d511ea570fa0bc5e948078d67e18fd7ffb7cb4176d710bdc9eecd89,WI,PAS,532041711.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502,DOF,HYUN,65,130,0.0,65.0,Paid,2017-06-15 00:00:00,,,5205874690,1623,"1 e pearson st, chicago, il",60611,41.89750853952926,-87.62750172300768
3629,3629,9191871431,2017-06-10 18:31:00,3143 N BROADWAY,dbcdd49a926d5545392f6128bcfa5d5457e240b1e607aa81533ea0b7f5539a1c,IL,PAS,608033674.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,KIA,50,100,0.0,50.0,Paid,2017-06-23 00:00:00,VIOL,,5177915860,1392,"3100 n broadway, chicago, il",60657,41.93889450874258,-87.64434111183576
3630,3630,9191819329,2017-06-10 18:32:00,5344 S LAKE PARK - INNER,aff1abce0cc82d9308879b3264be44666e6026ada25ac9c15a22f88a3cac9048,IL,PAS,60637.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,PONT,50,100,122.0,0.0,Notice,2017-06-15 00:00:00,FINL,,5051142500,1628,"5300 s lake park - inner, chicago, il",60615,41.798527742714526,-87.58776530102699
3631,3631,9191796149,2017-06-10 18:32:00,1640 N WELLS ST,5a94a7c19eeebc923a385c8d9c4a851d8a52159731d68ae1f6e835a42696460b,IL,PAS,600604851.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,NISS,50,100,0.0,50.0,Paid,2017-07-21 00:00:00,VIOL,,5200611270,1398,"1600 n wells st, chicago, il",60614,41.912114748633584,-87.63480068581197
3632,3632,67879874,2017-06-10 18:32:00,6300 S HAYES DR,86c9251f972db8461d7eb779ef2853355b13699503480cf9ef2082bd1da4f3b5,IL,PAS,609014589.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,3,CPD,KIA,60,120,146.4,0.0,Notice,2017-06-29 00:00:00,FINL,,5206043020,12398,"6300 s hayes dr, chicago, il",60637,41.78011719194562,-87.57835506985228
3633,3633,67854320,2017-06-10 18:33:00,5506 S STATE,77e79dbf06ee642c9505018a605058aa065526de805a8fe1568778030a94cba3,IL,PAS,606281431.0,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,2,CPD,CHEV,100,200,244.0,0.0,Notice,2017-06-29 00:00:00,SEIZ,,5051979560,14960,"5500 s state, chicago, il",60621,41.79416544756173,-87.62575356149591
3634,3634,68145127,2017-06-10 18:33:00,2618 N FRANCISCO,c56476a10c9c460f999238420b33658cc2d8e7a6fa84da2f7decfa153984921f,IL,PAS,607072220.0,0964090E,RESIDENTIAL PERMIT PARKING,14,CPD,HYUN,75,150,121.97,61.03,Notice,2017-06-22 00:00:00,SEIZ,,5207593320,3777,"2600 n francisco, chicago, il",60647,41.92927999417162,-87.70003737763267
3635,3635,67930669,2017-06-10 18:33:00,1205 W 86TH ST,e827e16a402239e321938b4c011c9891fd06cfc278288375d6ee4b2ca407eecc,IL,PAS,60637.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",6,CPD,JAGU,200,400,400.0,0.0,Notice,2017-12-01 00:00:00,FINL,Liable,5179477220,15164,"1200 w 86th st, chicago, il",60620,41.73767351944432,-87.65362697502998
